Компания;Должность;Средняя зарплата;Стаж
Индивидуальный предприниматель Комарова Светлана Николаевна;Официант;20000;1
"Общество с Ограниченной Ответственностью ""ГК СПЕЦСЕРВИС""";Мусорщик;15000;1
"Общество с ограниченной ответственностью ""ГТК клининг""";Уборщица в салон красоты;16000;1
ИП Каширин А.В.;Уборщица;10000;5
ИП Каширин А.В.;уборщица;12000;1
ИП Каширин А.В.;Клинер по уборке квартир;13000;1
"Потребительский кооператив "" Развитие предпринимательства""";продавец;2816;2
"Общество с ограниченной ответственностью ""Психическое здоровье""";повар;27500;2
Индивидуальный  предприниматель Пономарев Евгений Владимирович;Кладовщик-грузчик;18000;2
VGE;социальный педагог;11000;3
ИП Калмыков Виталий Юрьевич;Компьютерный дизайнер;13000;3
"ООО ""Цифроград""";Мастер;30000;1
"ООО ""Цифроград""";Мастер;20000;5
Общество с ограниченной ответственностью ТРОКОТ;Курьер;30000;2
"ООО ""Доброгост""";Пекарь-кондитер;20000;1
Общество с ограниченной ответственностью ТРОКОТ;Сборщик на производство;30000;2
"Общество с ограниченной ответственностью ""Альтернатива""";Кадастровый инженер;50000;4
SDF;инспектор с функциями делопроизводителя;16000;2
"Публичное акционерное общество ""Представительство вещей""";Социальный работник;22500;1
